s,object_type
http://example.com/building/id/102047714b,http://example.com/ontology/Building
http://example.com/building/id/1021216b,http://example.com/ontology/Building
http://example.com/building/id/102312434b,http://example.com/ontology/Building
http://example.com/building/id/102393850b,http://example.com/ontology/Building
http://example.com/building/id/1025640b,http://example.com/ontology/Building
http://example.com/building/id/10275807b,http://example.com/ontology/Building
http://example.com/building/id/10275821b,http://example.com/ontology/Building
http://example.com/building/id/10275871b,http://example.com/ontology/Building
http://example.com/building/id/10275929b,http://example.com/ontology/Building
http://example.com/building/id/10280162b,http://example.com/ontology/Building
http://example.com/building/id/10280205b,http://example.com/ontology/Building
http://example.com/building/id/1028275b,http://example.com/ontology/Building
http://example.com/building/id/1028759b,http://example.com/ontology/Building
http://example.com/building/id/1028985b,http://example.com/ontology/Building
http://example.com/building/id/10300396b,http://example.com/ontology/Building
http://example.com/building/id/10300690b,http://example.com/ontology/Building
http://example.com/building/id/10300880b,http://example.com/ontology/Building
http://example.com/building/id/10300967b,http://example.com/ontology/Building
http://example.com/building/id/1030135b,http://example.com/ontology/Building
http://example.com/building/id/10303489b,http://example.com/ontology/Building
http://example.com/building/id/1031614b,http://example.com/ontology/Building
http://example.com/building/id/1031914b,http://example.com/ontology/Building
http://example.com/building/id/1032137b,http://example.com/ontology/Building
http://example.com/building/id/1032141b,http://example.com/ontology/Building
http://example.com/building/id/1032147b,http://example.com/ontology/Building
http://example.com/building/id/1032248b,http://example.com/ontology/Building
http://example.com/building/id/10323861b,http://example.com/ontology/Building
http://example.com/building/id/1032536b,http://example.com/ontology/Building
http://example.com/building/id/1032560b,http://example.com/ontology/Building
http://example.com/building/id/1032571b,http://example.com/ontology/Building
http://example.com/building/id/1032573b,http://example.com/ontology/Building
http://example.com/building/id/1032581b,http://example.com/ontology/Building
http://example.com/building/id/1032584b,http://example.com/ontology/Building
http://example.com/building/id/1032612b,http://example.com/ontology/Building
http://example.com/building/id/1032619b,http://example.com/ontology/Building
http://example.com/building/id/1032646b,http://example.com/ontology/Building
http://example.com/building/id/1032662b,http://example.com/ontology/Building
http://example.com/building/id/1032697b,http://example.com/ontology/Building
http://example.com/building/id/1032707b,http://example.com/ontology/Building
